scheme,birth,alpha_at_birth,cumulative_alpha,remaining_family_budget
fixed_j2,1,0.03039635509270134,0.03039635509270134,0.019603644907298663
fixed_j2,10,0.00030396355092701335,0.04710729026774828,0.002892709732251725
fixed_j2,50,1.2158542037080536e-05,0.049398111643932416,0.000601888356067587
fixed_j2,100,3.039635509270134e-06,0.049697551200869765,0.000302448799130238
fixed_j2,250,4.863416814832214e-07,0.049878657426243186,0.00012134257375681634
fixed_j2,500,1.2158542037080535e-07,0.04993926804199634,6.073195800366388e-05
fixed_j2,1000,3.039635509270134e-08,0.04996961883801879,3.0381161981216098e-05
current_adaptive,1,0.0027500000000000007,0.0027500000000000007,0.04725
current_adaptive,10,0.0016527949240932093,0.02160197812239851,0.028398021877601494
current_adaptive,50,0.00017198529306632228,0.047044979964587744,0.002955020035412259
current_adaptive,100,1.0164399736144641e-05,0.04982535713180626,0.00017464286819374175
current_adaptive,250,2.098229615708898e-09,0.04999996394860024,3.605139976131655e-08
current_adaptive,500,1.5128822933181176e-15,0.04999999999997401,2.5993096564036478e-14
current_adaptive,1000,7.865193191260124e-28,0.05,0.0
heavy_tail_fixed,1,0.01845351232142713,0.01845351232142713,0.031546487678572877
heavy_tail_fixed,10,0.0005060940333379,0.03605285271744351,0.013947147282556492
heavy_tail_fixed,50,4.331854034637868e-05,0.04122874682090227,0.00877125317909773
heavy_tail_fixed,100,1.5997079587025975e-05,0.042506472918402635,0.007493527081597368
heavy_tail_fixed,250,4.510346125199911e-06,0.043732199386321245,0.006267800613678758
heavy_tail_fixed,500,1.7876343481567357e-06,0.0444268230211086,0.0055731769788914046
heavy_tail_fixed,1000,7.249068923350826e-07,0.044984284153811734,0.005015715846188269
epoch_reserve,1,0.025,0.025,0.025
epoch_reserve,10,0.00031250000000000006,0.038437500000000006,0.011562499999999996
epoch_reserve,50,3.7202380952380956e-05,0.04237351190476191,0.007626488095238096
epoch_reserve,100,1.3950892857142857e-05,0.04337332589285714,0.006626674107142863
epoch_reserve,250,5.4253472222222224e-06,0.044417317708333334,0.0055826822916666685
epoch_reserve,500,2.170138888888889e-06,0.044976128472222224,0.005023871527777779
epoch_reserve,1000,8.877840909090909e-07,0.045434126420454544,0.004565873579545458
explore_exploit,1,0.0009226756160713564,0.0009226756160713564,0.049077324383928644
explore_exploit,10,0.0009226756160713564,0.009226756160713565,0.04077324383928644
explore_exploit,50,0.00017330860481651724,0.02673308604816517,0.023266913951834833
explore_exploit,100,7.661405031629836e-05,0.03218964064459887,0.01781035935540113
explore_exploit,250,1.672877556844524e-05,0.03703481100382477,0.012965188996175235
explore_exploit,500,6.090339240526668e-06,0.03948450410714237,0.010515495892857635
explore_exploit,1000,2.1659270173189337e-06,0.041228746820902266,0.008771253179097736
wallet_lineage,1,0.006181926627678087,0.006181926627678087,0.043818073372321915
wallet_lineage,10,0.0007977011412513196,0.01727458512773255,0.032725414872267454
wallet_lineage,50,0.00013431158547547566,0.0310817842799863,0.018918215720013704
wallet_lineage,100,5.140453103481898e-05,0.03528469032674001,0.014715309673259992
wallet_lineage,250,1.3225255321556006e-05,0.039045647604434554,0.010954352395565449
wallet_lineage,500,4.799527772815688e-06,0.04096719978133223,0.009032800218667772
wallet_lineage,1000,1.7163255776255642e-06,0.0423554080207751,0.007644591979224902
