scheme,score_mode,delta,repetitions,fwer,fwer_ci_low,fwer_ci_high,recall,se_recall,precision,se_precision,early_recall,se_early_recall,middle_recall,se_middle_recall,late_recall,se_late_recall,planted_component_coverage,se_planted_component_coverage,restricted_first_true_birth,se_restricted_first_true_birth,restricted_first_true_evidence_delay,se_restricted_first_true_evidence_delay,restricted_first_true_end_to_end_delay,se_restricted_first_true_end_to_end_delay,true_discoveries,se_true_discoveries,false_discoveries,se_false_discoveries,budget_spent,se_budget_spent,budget_first_10pct,se_budget_first_10pct,max_candidate_allocation,se_max_candidate_allocation
current_adaptive,informed,0.0,400,0.015,0.006892291919440893,0.03233463358482672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,600.0,0.0,30000.0,0.0,0.0,0.0,0.015,0.00608523419335443,0.05000000000000001,3.713059457573876e-19,0.04990971495411347,1.3166390242717035e-06,0.002750000000000001,2.171119943211031e-20
current_adaptive,informed,0.1,200,0.0,1.734723475976807e-18,0.018845326377266575,8.78418312839121e-05,3.00273519957066e-05,0.05,0.015449707678033373,0.0010961198945943294,0.000363657369748182,0.0,0.0,0.0,0.0,0.016666666666666666,0.0051499025593444575,951.87,15.181955551636268,586.03,5.04897078919563,28531.03,453.95656063130207,0.06,0.019593866335921292,0.0,0.0,0.05000000000000001,4.992089021439375e-19,0.04991372651373025,2.0539183418554887e-06,0.002750000000000001,3.0742821700167204e-20
current_adaptive,informed,0.2,200,0.005,0.0008831687156009814,0.02777370439789293,0.0005355109761949567,6.85989291071384e-05,0.2875,0.03198568696861568,0.007450104695872182,0.000996546357675071,7.055233049131385e-05,3.6983139294701866e-05,0.0,0.0,0.11333333333333333,0.013458375144491684,720.41,31.146989167026305,531.385,9.949656385319528,21625.56,929.663721896824,0.44,0.0569933435238726,0.005,0.005000000000000001,0.05000000000000001,5.158934946696433e-19,0.04992837306156384,2.287901366126887e-06,0.002750000000000001,3.0742821700167204e-20
current_adaptive,informed,0.35,200,0.055,0.03098534170345884,0.0957869987723084,0.007484292099112255,0.00039553390274290516,0.9505046992481203,0.014206466938569643,0.06969702099327739,0.004130898694135166,0.0055282734537412,0.0004848413430768201,0.0,0.0,0.5166666666666667,0.01732373139535484,69.0,13.649492416060035,280.685,10.692486859999232,2160.855,408.00863249547695,6.295,0.34296940836666007,0.06,0.018266590861694548,0.05000000000000001,5.052309401953925e-19,0.04993775270834615,2.1970257210106107e-06,0.002750000000000001,3.0742821700167204e-20
current_adaptive,informed,0.5,200,0.195,0.1460552053440051,0.25544044374612745,0.03356562108549672,0.0010760832502368885,0.9894326392883918,0.0019158741090749072,0.21052743009338898,0.006818247440311514,0.043975172369836876,0.0018688333807507006,1.2987012987012988e-05,1.2987012987012988e-05,0.81,0.015406279039269865,9.995,0.688582313899417,139.615,5.5127566884937576,371.955,20.04670212793192,28.23,0.9767063409141509,0.22,0.034114792912714374,0.05000000000000001,5.088099526358533e-19,0.04994408771400249,1.9822377376511073e-06,0.002750000000000001,3.0742821700167204e-20
current_adaptive,inverted,0.0,400,0.015,0.006892291919440893,0.03233463358482672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,600.0,0.0,30000.0,0.0,0.0,0.0,0.015,0.00608523419335443,0.04999999999998597,3.2835170183992828e-15,0.04963188186399458,7.960171808611292e-06,0.002750000000000001,2.171119943211031e-20
current_adaptive,inverted,0.1,200,0.0,1.734723475976807e-18,0.018845326377266575,8.565659577666571e-05,2.9498326186990986e-05,0.05,0.015449707678033374,0.0010052108036852385,0.000353412846209809,1.8181818181818182e-05,1.8181818181818182e-05,0.0,0.0,0.016666666666666666,0.0051499025593444575,952.285,15.060511742458276,585.2,5.147683286302723,28542.2,450.6965320144468,0.06,0.019593866335921292,0.0,0.0,0.04999999999957455,1.0133353921372251e-13,0.04959905222627221,1.5023746299418982e-05,0.002750000000000001,3.0742821700167204e-20
current_adaptive,inverted,0.2,200,0.005,0.0008831687156009814,0.02777370439789293,0.0005631351901810036,7.151932852156587e-05,0.305,0.03263741725420572,0.006453779558477043,0.0009260835219142121,0.0002978391828472228,8.079670953260811e-05,0.0,0.0,0.11666666666666665,0.013314475776949075,711.285,31.1081727353062,531.05,9.667753866546283,21350.515,928.7832383922888,0.465,0.059679840960624446,0.005,0.005000000000000001,0.049999999999453364,6.59154307590731e-14,0.04946836477166561,2.352824074752092e-05,0.002750000000000001,3.0742821700167204e-20
current_adaptive,inverted,0.35,200,0.05,0.02738264560076393,0.08957814813877599,0.016634372888094547,0.0007305302081487073,0.9911242986498504,0.005171046205121532,0.06625557694394778,0.0039729968190925485,0.02663557945808914,0.0013322270834096339,0.0014894936829195856,0.00018106369839457638,0.5883333333333333,0.01687102518483301,41.875,5.870516304671769,247.485,8.413341813892202,1340.575,176.3319011657238,14.065,0.6453575028870923,0.055,0.017647440630414943,0.04999999999960261,4.9797644322101066e-14,0.04937188353478742,2.7902179577862005e-05,0.002750000000000001,3.0742821700167204e-20
current_adaptive,inverted,0.5,200,0.22,0.16816538358833258,0.28238799918293667,0.09740900192872709,0.003028545213205791,0.9951951412542437,0.0008862488309272547,0.20544430445667344,0.006847902131947827,0.15901660275047486,0.005291356183463034,0.03290922569130721,0.0014794557706563386,0.8866666666666666,0.012820976669872019,10.005,0.6896761128990314,124.195,3.962897634725957,371.6,20.00017210981222,82.275,2.7471221808252198,0.265,0.03913480117895813,0.04999999999954679,5.5803460317531094e-14,0.049335813019241906,2.5271580785172985e-05,0.002750000000000001,3.0742821700167204e-20
