scheme,baseline,metric,paired_repetitions,mean_effect,ci_low,ci_high
current_adaptive,fixed_j2,recall,200,-0.04018991553493695,-0.04217556081179239,-0.038204270258081506
current_adaptive,fixed_j2,late_recall,200,-0.04427625767950987,-0.0465266972098474,-0.04202581814917234
current_adaptive,fixed_j2,planted_component_coverage,200,-0.02083333333333333,-0.033608741712771326,-0.008057924953895332
current_adaptive,fixed_j2,restricted_first_true_end_to_end_delay,200,-354.3625,-860.8408512218762,152.11585122187608
heavy_tail_fixed,fixed_j2,recall,200,0.024498728647221232,0.02372540021339577,0.025272057081046694
heavy_tail_fixed,fixed_j2,late_recall,200,0.025760231311397062,0.024812542272155465,0.02670792035063866
heavy_tail_fixed,fixed_j2,planted_component_coverage,200,0.06749999999999999,0.05738051148634154,0.07761948851365845
heavy_tail_fixed,fixed_j2,restricted_first_true_end_to_end_delay,200,-1368.06375,-1733.0386560180125,-1003.0888439819876
epoch_reserve,fixed_j2,recall,200,0.02230314524923731,0.021593127911816005,0.023013162586658618
epoch_reserve,fixed_j2,late_recall,200,0.02378814131108349,0.022903539861267145,0.024672742760899837
epoch_reserve,fixed_j2,planted_component_coverage,200,0.06,0.05079844201079213,0.06920155798920787
epoch_reserve,fixed_j2,restricted_first_true_end_to_end_delay,200,-1140.66625,-1460.0507369972213,-821.2817630027787
explore_exploit,fixed_j2,recall,200,0.041581099192263486,0.04040118715265893,0.04276101123186804
explore_exploit,fixed_j2,late_recall,200,0.040603907194757996,0.03922591440613846,0.041981899983377535
explore_exploit,fixed_j2,planted_component_coverage,200,0.11041666666666665,0.09872686087823122,0.12210647245510207
explore_exploit,fixed_j2,restricted_first_true_end_to_end_delay,200,-2784.93,-3286.0037949379744,-2283.8562050620253
wallet_lineage,fixed_j2,recall,200,0.03862704801522434,0.037506720856110926,0.039747375174337754
wallet_lineage,fixed_j2,late_recall,200,0.03791560466544463,0.03659648094383883,0.03923472838705043
wallet_lineage,fixed_j2,planted_component_coverage,200,0.09375,0.08223349308046356,0.10526650691953644
wallet_lineage,fixed_j2,restricted_first_true_end_to_end_delay,200,-2370.95875,-2822.7680257147886,-1919.149474285211
fixed_j2,current_adaptive,recall,200,0.04018991553493695,0.038204270258081506,0.04217556081179239
fixed_j2,current_adaptive,late_recall,200,0.04427625767950987,0.04202581814917234,0.0465266972098474
fixed_j2,current_adaptive,planted_component_coverage,200,0.02083333333333333,0.008057924953895332,0.033608741712771326
fixed_j2,current_adaptive,restricted_first_true_end_to_end_delay,200,354.3625,-152.11585122187608,860.8408512218762
heavy_tail_fixed,current_adaptive,recall,200,0.0646886441821582,0.06208319470380534,0.06729409366051105
heavy_tail_fixed,current_adaptive,late_recall,200,0.07003648899090693,0.06703105626348499,0.07304192171832888
heavy_tail_fixed,current_adaptive,planted_component_coverage,200,0.08833333333333332,0.07398199325040151,0.10268467341626512
heavy_tail_fixed,current_adaptive,restricted_first_true_end_to_end_delay,200,-1013.70125,-1508.4430644608346,-518.9594355391653
epoch_reserve,current_adaptive,recall,200,0.06249306078417426,0.059936069957261195,0.06505005161108733
epoch_reserve,current_adaptive,late_recall,200,0.06806439899059337,0.06510471232749215,0.07102408565369459
epoch_reserve,current_adaptive,planted_component_coverage,200,0.08083333333333333,0.06614637630536774,0.09552029036129892
epoch_reserve,current_adaptive,restricted_first_true_end_to_end_delay,200,-786.30375,-1299.8998361724966,-272.70766382750344
explore_exploit,current_adaptive,recall,200,0.08177101472720044,0.07880281743196842,0.08473921202243247
explore_exploit,current_adaptive,late_recall,200,0.08488016487426787,0.08149440676692939,0.08826592298160636
explore_exploit,current_adaptive,planted_component_coverage,200,0.13125,0.11743176806136028,0.14506823193863974
explore_exploit,current_adaptive,restricted_first_true_end_to_end_delay,200,-2430.5675,-2904.817250301447,-1956.3177496985534
wallet_lineage,current_adaptive,recall,200,0.0788169635501613,0.07590357645794067,0.08173035064238192
wallet_lineage,current_adaptive,late_recall,200,0.08219186234495451,0.07886082374697963,0.0855229009429294
wallet_lineage,current_adaptive,planted_component_coverage,200,0.11458333333333331,0.10120878097898442,0.1279578856876822
wallet_lineage,current_adaptive,restricted_first_true_end_to_end_delay,200,-2016.59625,-2467.832037041151,-1565.360462958849
